generation,vial_id,par_eff,par_temp,par_diet,sex,rep,ind,lifespan,status
F1,1,mat,21,0.4,m,1,1,22,1
F1,1,mat,21,0.4,m,1,2,45,1
F1,1,mat,21,0.4,m,1,3,47,1
F1,1,mat,21,0.4,m,1,4,50,1
F1,1,mat,21,0.4,m,1,5,54,1
F1,1,mat,21,0.4,m,1,6,57,1
F1,1,mat,21,0.4,m,1,7,61,1
F1,1,mat,21,0.4,m,1,8,61,1
F1,1,mat,21,0.4,m,1,9,64,1
F1,1,mat,21,0.4,m,1,10,64,1
F1,1,mat,21,0.4,m,1,11,66,1
F1,1,mat,21,0.4,m,1,12,66,1
F1,1,mat,21,0.4,m,1,13,71,1
F1,1,mat,21,0.4,m,1,14,73,1
F1,1,mat,21,0.4,m,1,15,78,1
F1,2,mat,21,0.4,m,2,1,31,1
F1,2,mat,21,0.4,m,2,2,38,1
F1,2,mat,21,0.4,m,2,3,40,1
F1,2,mat,21,0.4,m,2,4,43,1
F1,2,mat,21,0.4,m,2,5,43,1
F1,2,mat,21,0.4,m,2,6,45,1
F1,2,mat,21,0.4,m,2,7,50,1
F1,2,mat,21,0.4,m,2,8,50,1
F1,2,mat,21,0.4,m,2,9,54,1
F1,2,mat,21,0.4,m,2,10,57,1
F1,2,mat,21,0.4,m,2,11,57,1
F1,2,mat,21,0.4,m,2,12,61,1
F1,2,mat,21,0.4,m,2,13,68,1
F1,2,mat,21,0.4,m,2,14,80,1
F1,2,mat,21,0.4,m,2,15,80,1
F1,3,mat,21,0.4,f,1,1,66,1
F1,3,mat,21,0.4,f,1,2,66,1
F1,3,mat,21,0.4,f,1,3,71,1
F1,3,mat,21,0.4,f,1,4,71,1
F1,3,mat,21,0.4,f,1,5,78,1
F1,3,mat,21,0.4,f,1,6,78,1
F1,3,mat,21,0.4,f,1,7,80,1
F1,3,mat,21,0.4,f,1,8,80,1
F1,3,mat,21,0.4,f,1,9,82,1
F1,3,mat,21,0.4,f,1,10,85,1
F1,3,mat,21,0.4,f,1,11,85,1
F1,3,mat,21,0.4,f,1,12,89,1
F1,3,mat,21,0.4,f,1,13,89,1
F1,3,mat,21,0.4,f,1,14,92,1
F1,3,mat,21,0.4,f,1,15,92,1
F1,4,mat,21,0.4,f,2,1,68,1
F1,4,mat,21,0.4,f,2,2,71,1
F1,4,mat,21,0.4,f,2,3,73,1
F1,4,mat,21,0.4,f,2,4,73,1
F1,4,mat,21,0.4,f,2,5,75,1
F1,4,mat,21,0.4,f,2,6,75,1
F1,4,mat,21,0.4,f,2,7,78,1
F1,4,mat,21,0.4,f,2,8,78,1
F1,4,mat,21,0.4,f,2,9,78,1
F1,4,mat,21,0.4,f,2,10,80,1
F1,4,mat,21,0.4,f,2,11,82,1
F1,4,mat,21,0.4,f,2,12,85,1
F1,4,mat,21,0.4,f,2,13,85,1
F1,4,mat,21,0.4,f,2,14,89,1
F1,4,mat,21,0.4,f,2,15,89,1
F1,5,mat,21,1,m,1,1,43,1
F1,5,mat,21,1,m,1,2,47,1
F1,5,mat,21,1,m,1,3,50,1
F1,5,mat,21,1,m,1,4,50,1
F1,5,mat,21,1,m,1,5,52,1
F1,5,mat,21,1,m,1,6,52,1
F1,5,mat,21,1,m,1,7,52,1
F1,5,mat,21,1,m,1,8,57,1
F1,5,mat,21,1,m,1,9,59,1
F1,5,mat,21,1,m,1,10,61,1
F1,5,mat,21,1,m,1,11,61,1
F1,5,mat,21,1,m,1,12,64,1
F1,5,mat,21,1,m,1,13,68,1
F1,5,mat,21,1,m,1,14,71,1
F1,5,mat,21,1,m,1,15,73,1
F1,6,mat,21,1,m,2,1,10,1
F1,6,mat,21,1,m,2,2,43,1
F1,6,mat,21,1,m,2,3,54,1
F1,6,mat,21,1,m,2,4,57,1
F1,6,mat,21,1,m,2,5,59,1
F1,6,mat,21,1,m,2,6,61,1
F1,6,mat,21,1,m,2,7,64,1
